NAME,PATTERN,VALUE
CSF_RS,"TR_1,H5",155
CSF_UpMinProvision,"TR_1,H5",155
CSF_RS,"TR_1,H6",155
CSF_UpMinProvision,"TR_1,H6",155
CSF_RS,"TR_1,H7",155
CSF_UpMinProvision,"TR_1,H7",155
CSF_RS,"TR_1,H8",223
CSF_UpMinProvision,"TR_1,H8",223
CSF_RS,"TR_1,H9",223
CSF_UpMinProvision,"TR_1,H9",223
CSF_RS,"TR_1,H10",223
CSF_UpMinProvision,"TR_1,H10",223
CSF_RS,"TR_1,H11",176
CSF_UpMinProvision,"TR_1,H11",176
CSF_RS,"TR_1,H12",176
CSF_UpMinProvision,"TR_1,H12",176
CSF_RS,"TR_1,H13",176
CSF_UpMinProvision,"TR_1,H13",176
CSF_RS,"TR_1,H14",176
CSF_UpMinProvision,"TR_1,H14",176
CSF_RS,"TR_1,H15",176
CSF_UpMinProvision,"TR_1,H15",176
CSF_RS,"TR_1,H16",176
CSF_UpMinProvision,"TR_1,H16",176
CSF_RS,"TR_1,H17",176
CSF_UpMinProvision,"TR_1,H17",176
CSF_RS,"TR_1,H18",330
CSF_UpMinProvision,"TR_1,H18",330
CSF_RS,"TR_1,H19",330
CSF_UpMinProvision,"TR_1,H19",330
CSF_RS,"TR_1,H20",330
CSF_UpMinProvision,"TR_1,H20",330
CSF_RS,"TR_1,H21",267
CSF_UpMinProvision,"TR_1,H21",267
CSF_RS,"TR_1,H22",267
CSF_UpMinProvision,"TR_1,H22",267
CSF_RS,"TR_1,H23",169
CSF_UpMinProvision,"TR_1,H23",169
CSF_RS,"TR_1,H24",169
CSF_UpMinProvision,"TR_1,H24",169
CSF_RS,"DO_2,H1",135
CSF_UpMinProvision,"DO_2,H1",135
CSF_RS,"DO_2,H2",135
CSF_UpMinProvision,"DO_2,H2",135
CSF_RS,"DO_2,H3",154
CSF_UpMinProvision,"DO_2,H3",154
CSF_RS,"DO_2,H4",154
CSF_UpMinProvision,"DO_2,H4",154
CSF_RS,"DO_2,H5",154
CSF_UpMinProvision,"DO_2,H5",154
CSF_RS,"DO_2,H6",154
CSF_UpMinProvision,"DO_2,H6",154
CSF_RS,"DO_2,H7",154
CSF_UpMinProvision,"DO_2,H7",154
CSF_RS,"DO_2,H8",205
CSF_UpMinProvision,"DO_2,H8",205
CSF_RS,"DO_2,H9",205
CSF_UpMinProvision,"DO_2,H9",205
CSF_RS,"DO_2,H10",205
CSF_UpMinProvision,"DO_2,H10",205
CSF_RS,"DO_2,H11",218
CSF_UpMinProvision,"DO_2,H11",218
CSF_RS,"DO_2,H12",218
CSF_UpMinProvision,"DO_2,H12",218
CSF_RS,"DO_2,H13",218
CSF_UpMinProvision,"DO_2,H13",218
CSF_RS,"DO_2,H14",218
CSF_UpMinProvision,"DO_2,H14",218
CSF_RS,"DO_2,H15",218
CSF_UpMinProvision,"DO_2,H15",218
CSF_RS,"DO_2,H16",218
CSF_UpMinProvision,"DO_2,H16",218
CSF_RS,"DO_2,H17",332
CSF_UpMinProvision,"DO_2,H17",332
CSF_RS,"DO_2,H18",332
CSF_UpMinProvision,"DO_2,H18",332
CSF_RS,"DO_2,H19",332
CSF_UpMinProvision,"DO_2,H19",332
CSF_RS,"DO_2,H20",305
