NAME,YEAR,MONTH,DAY,PERIOD,BAND,VALUE
ATA-TG2B+0.5TV2C_GN_B,2026,5,9,1,1,0
ATA-TG2B+0.5TV2C_GN_C,2026,5,9,1,1,0
ATA-TG2B+0.5TV2C_GN_D,2026,5,9,1,1,0
ATA-TG2B+0.5TV2C_GNL_INF,2026,5,9,1,1,0
PAS_MEJILLONES,2026,5,9,1,1,11.06
MANTOS_BLANCOS,2026,5,9,1,1,0
LA_PORTADA,2026,5,9,1,1,0
AGUAS_BLANCAS,2026,5,9,1,1,0
TALTAL_1_DIE,2026,5,9,1,1,0
TALTAL_1_GNL_A,2026,5,9,1,1,0
TALTAL_1_GNL_B,2026,5,9,1,1,0
TALTAL_1_GNL_C,2026,5,9,1,1,0
TALTAL_1_GNL_D,2026,5,9,1,1,0
TALTAL_1_GNL_E,2026,5,9,1,1,0
TALTAL_1_GN_A,2026,5,9,1,1,0
TALTAL_1_GN_B,2026,5,9,1,1,0
TALTAL_1_GN_C,2026,5,9,1,1,0
TALTAL_1_GN_D,2026,5,9,1,1,0
TALTAL_1_GNL_INF,2026,5,9,1,1,0
TALTAL_2_DIE,2026,5,9,1,1,0
TALTAL_2_GNL_A,2026,5,9,1,1,0
TALTAL_2_GNL_B,2026,5,9,1,1,0
TALTAL_2_GNL_C,2026,5,9,1,1,0
TALTAL_2_GNL_D,2026,5,9,1,1,0
TALTAL_2_GNL_E,2026,5,9,1,1,0
TALTAL_2_GN_A,2026,5,9,1,1,0
TALTAL_2_GN_B,2026,5,9,1,1,0
TALTAL_2_GN_C,2026,5,9,1,1,0
TALTAL_2_GN_D,2026,5,9,1,1,0
TALTAL_2_GNL_INF,2026,5,9,1,1,0
DIEGO_DE_ALMAGRO,2026,5,9,1,1,0
ANDES_U1-U2_DIE,2026,5,9,1,1,0
ANDES_U3_DIE,2026,5,9,1,1,0
ANDES_U4_DIE,2026,5,9,1,1,0
EL_SALVADOR,2026,5,9,1,1,0
SAN_LORENZO_U1,2026,5,9,1,1,0
SAN_LORENZO_U2,2026,5,9,1,1,0
SAN_LORENZO_U3,2026,5,9,1,1,0
EMELDA_U1,2026,5,9,1,1,0
EMELDA_U2,2026,5,9,1,1,0
CENIZAS_U2,2026,5,9,1,1,0
CENIZAS_U4,2026,5,9,1,1,0
CENIZAS_U5,2026,5,9,1,1,0
TERMOPACIFICO,2026,5,9,1,1,0
PAJONALES,2026,5,9,1,1,0
CARDONES,2026,5,9,1,1,0
LLANOS_BLANCOS,2026,5,9,1,1,0
GUACOLDA_1,2026,5,9,1,1,120.9118
GUACOLDA_2,2026,5,9,1,1,123.8866
GUACOLDA_3,2026,5,9,1,1,95.0137
GUACOLDA_4,2026,5,9,1,1,100.03
GUACOLDA_5,2026,5,9,1,1,20.2
MAITENCILLO,2026,5,9,1,1,0
HUASCO-TG_U3_DIE,2026,5,9,1,1,0
HUASCO-TG_U3_IFO,2026,5,9,1,1,0
HUASCO-TG_U4_DIE,2026,5,9,1,1,0
HUASCO-TG_U4_IFO,2026,5,9,1,1,0
HUASCO-TG_U5_DIE,2026,5,9,1,1,0
HUASCO-TG_U5_IFO,2026,5,9,1,1,0
PUNTA_COLORADA_DIE,2026,5,9,1,1,0
PUNTA_COLORADA_IFO,2026,5,9,1,1,0
EL_PENON,2026,5,9,1,1,0
COMBARBALA,2026,5,9,1,1,0
CHAGUAL,2026,5,9,1,1,0
OLIVOS_BL1,2026,5,9,1,1,0
OLIVOS_BL2,2026,5,9,1,1,0
ESPINOS_BL1,2026,5,9,1,1,0
ESPINOS_BL2,2026,5,9,1,1,0
NUEVA_VENTANAS,2026,5,9,1,1,0
CAMPICHE,2026,5,9,1,1,248.63
QUINTERO_1A_DIE,2026,5,9,1,1,0
QUINTERO_1A_GN_A,2026,5,9,1,1,0
QUINTERO_1A_GN_B,2026,5,9,1,1,0
QUINTERO_1A_GN_C,2026,5,9,1,1,0
QUINTERO_1A_GN_D,2026,5,9,1,1,0
QUINTERO_1A_GN_E,2026,5,9,1,1,0
QUINTERO_1A_GNL_A,2026,5,9,1,1,0
QUINTERO_1A_GNL_B,2026,5,9,1,1,0
QUINTERO_1A_GNL_C,2026,5,9,1,1,0
QUINTERO_1A_GNL_D,2026,5,9,1,1,0
QUINTERO_1A_GNL_E,2026,5,9,1,1,0
QUINTERO_1A_GNL_F,2026,5,9,1,1,0
QUINTERO_1A_GNL_INF,2026,5,9,1,1,0
QUINTERO_1B_DIE,2026,5,9,1,1,0
QUINTERO_1B_GN_A,2026,5,9,1,1,0
QUINTERO_1B_GN_B,2026,5,9,1,1,0
QUINTERO_1B_GN_C,2026,5,9,1,1,0
QUINTERO_1B_GN_D,2026,5,9,1,1,0
QUINTERO_1B_GN_E,2026,5,9,1,1,0
QUINTERO_1B_GNL_A,2026,5,9,1,1,0
QUINTERO_1B_GNL_B,2026,5,9,1,1,0
QUINTERO_1B_GNL_C,2026,5,9,1,1,0
QUINTERO_1B_GNL_D,2026,5,9,1,1,0
QUINTERO_1B_GNL_E,2026,5,9,1,1,0
QUINTERO_1B_GNL_F,2026,5,9,1,1,0
QUINTERO_1B_GNL_INF,2026,5,9,1,1,0
SAN_ISIDRO-TG_DIE,2026,5,9,1,1,0
SAN_ISIDRO-TG_GN_A,2026,5,9,1,1,0
SAN_ISIDRO-TG_GN_B,2026,5,9,1,1,0
SAN_ISIDRO-TG_GN_C,2026,5,9,1,1,0
SAN_ISIDRO-TG_GN_D,2026,5,9,1,1,0
SAN_ISIDRO-TG_GN_E,2026,5,9,1,1,0
SAN_ISIDRO-TG_GNL_A,2026,5,9,1,1,0
SAN_ISIDRO-TG_GNL_B,2026,5,9,1,1,0
SAN_ISIDRO-TG_GNL_C,2026,5,9,1,1,0
SAN_ISIDRO-TG_GNL_D,2026,5,9,1,1,0
SAN_ISIDRO-TG_GNL_E,2026,5,9,1,1,0
SAN_ISIDRO-TG_GNL_F,2026,5,9,1,1,0
SAN_ISIDRO-TG_GNL_INF,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_DIE,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_GN_A,2026,5,9,1,1,292.74
SAN_ISIDRO-TG+TV_GN_B,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_GN_C,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_GN_D,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_GN_E,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_GNL_A,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_GNL_B,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_GNL_C,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_GNL_D,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_GNL_E,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_GNL_F,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV_GNL_INF,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV-FSTVD_DIE,2026,5,9,1,1,0
SAN_ISIDRO-TG+TV-FSTVD_GN_A,2026,5,9,1,1,0
